Date,Bitcoin Core (BTC) Price,Blockchain Size,Fee Rate,Hash Rate,Inflation Rate,Miner Revenue,Price Volatility,Total Transactions,Transaction Fees,Money Supply,Avg. UTXO Amount
2009-05-22,0.0,3407641,0,5.595956066878306e-06,113.81,4100.0,143.4646219296826,15391,0.0,763350.0,52.482
2009-05-23,0.0,3420815,0,5.063346035132274e-06,113.59200000000001,3050.0,144.14874059201532,15452,0.0,766400.0,52.4716
2009-05-24,0.0,3427724,0,4.445518398306878e-06,113.39200000000001,1600.0,144.74416791914985,15484,0.0,768000.0,52.4662
2009-05-25,0.0,3449315,0,4.253778786878308e-06,113.11399999999999,5000.0,135.46323829166838,15584,0.0,773000.0,52.4495
2009-05-26,0.0,3472854,0,4.189865583068784e-06,112.962,5450.0,125.6235005273258,15693,0.0,778450.0,52.4315
2009-05-27,0.0,3499841,0,4.466822799576719e-06,112.835,6250.0,125.05610579172277,15818,0.0,784700.0,52.4112
2009-05-28,0.0,3525514,0,4.4597213324867735e-06,112.61399999999999,5950.0,117.67069347982066,15937,0.0,790650.0,52.3922
2009-05-29,0.0,3546022,0,4.552040404656086e-06,112.42299999999999,4750.0,117.67069347982066,16032,0.0,795400.0,52.3772
2009-05-30,0.0,3575788,0,4.871606423703703e-06,112.26,5300.0,107.35693783137485,16139,0.0,800700.0,52.5635
2009-05-31,0.0,3599305,0,5.418419389629631e-06,111.95,5450.0,100.47898367848379,16248,0.0,806150.0,52.5453
2009-06-01,0.0,3620041,0,5.390013521269841e-06,111.588,4800.0,100.47898367848379,16344,0.0,810950.0,52.5295
2009-06-02,0.0,3635649,0,5.120157771851853e-06,111.34700000000001,3550.0,96.11889713064468,16416,0.0,814500.0,52.5145
2009-06-03,0.0,3659615,0,5.020737232592593e-06,111.036,5550.0,94.16237135342584,16527,0.0,820050.0,52.4966
2009-06-04,0.0,3674951,0,4.6798668122751326e-06,110.70200000000001,3550.0,78.90003716169677,16598,0.0,823600.0,52.4853
2009-06-05,0.0,3689202,0,4.473924266666668e-06,110.305,3300.0,75.78374886619422,16664,0.0,826900.0,52.4749
2009-06-06,0.0,3695675,0,3.934212767830688e-06,110.02600000000001,1500.0,70.39933409355609,16694,0.0,828400.0,52.4702
2009-06-07,0.0,3701708,0,3.3589939335449736e-06,109.595,1400.0,70.39933409355609,16722,0.0,829800.0,52.4659
2009-06-08,0.0,3705162,0,2.7908765663492077e-06,109.311,800.0,70.39933409355609,16738,0.0,830600.0,52.4634
2009-06-09,0.0,3722855,0,2.868992704338625e-06,108.994,4100.0,65.54457768051485,16820,0.0,834700.0,52.4507
2009-06-10,0.0,3742494,0,2.7269633625396826e-06,108.662,4550.0,83.87268402302979,16911,0.0,839250.0,52.4367
2009-06-11,0.0,3760200,0,2.8050795005291006e-06,108.402,4100.0,84.67999114739708,16993,0.0,843350.0,52.4243
2009-06-12,0.0,3779420,0,2.9684132435978834e-06,108.12,4450.0,84.67999114739708,17082,0.0,847800.0,52.411
2009-06-13,0.0,3797982,0,3.3660954006349203e-06,107.738,4300.0,94.86418584315751,17168,0.0,852100.0,52.3982
2009-06-14,0.0,3814789,0,3.7211687551322747e-06,107.336,3900.0,99.63909232481286,17246,0.0,856000.0,52.3868
2009-06-15,0.0,3830320,0,4.118850912169311e-06,106.979,3600.0,92.60612577107409,17318,0.0,859600.0,52.3763
2009-06-16,0.0,3848458,0,4.133053846349206e-06,105.156,4200.0,105.85702618275907,17402,0.0,863800.0,52.3642
2009-06-17,0.0,3863772,0,3.991024504550265e-06,103.245,3550.0,110.22763870927082,17473,0.0,867350.0,52.3541
2009-06-18,0.0,3880810,0,3.969720103280423e-06,101.787,3950.0,111.64111343133074,17552,0.0,871300.0,52.3429
2009-06-19,0.0,3898076,0,3.905806899470898e-06,100.15,4000.0,111.64111343133074,17632,0.0,875300.0,52.3317
2009-06-20,0.0,3916839,0,3.912908366560846e-06,98.9127,4350.0,113.787975112416,17719,0.0,879650.0,52.3196
2009-06-21,0.0,3933668,0,3.912908366560847e-06,98.6407,3900.0,113.65901676651664,17797,0.0,883550.0,52.3089
2009-06-22,0.0,3951149,0,3.976821570370371e-06,98.3917,4050.0,113.51208860230604,17878,0.0,887600.0,52.2979
2009-06-23,0.0,3974434,0,3.920009833650793e-06,98.1383,3800.0,113.29217289818443,17955,0.0,891400.0,52.4692
2009-06-24,0.0,3990813,0,3.9555171691005305e-06,97.8257,3800.0,111.62099734023077,18031,0.0,895200.0,52.4582
2009-06-25,0.0,4011866,0,4.069140642539682e-06,97.45100000000001,4750.0,111.62099734023077,18128,0.0,899950.0,52.4446
2009-06-26,0.0,4028849,0,3.983923037460317e-06,97.1705,3400.0,113.03357391588068,18197,0.0,903350.0,52.4929
2009-06-27,0.0,4048251,0,4.005227438730159e-06,96.8392,4500.0,116.78715411875702,18287,0.0,907850.0,52.4799
2009-06-28,0.0,4066384,0,4.047836241269842e-06,96.5167,4200.0,158.1827278027245,18371,0.0,912050.0,52.4679
2009-06-29,0.0,4076536,0,3.7992848931216936e-06,96.1071,2300.0,158.1827278027244,18418,0.0,914350.0,52.4584
2009-06-30,0.0,4095144,0,3.848995162751323e-06,95.6656,4150.0,159.1391526870034,18503,0.0,918500.0,52.4497
2009-07-01,0.0,4113481,0,3.912908366560846e-06,95.4551,4250.0,163.9494391469571,18588,0.0,922750.0,52.4379
2009-07-02,0.0,4129717,0,3.7637775576719572e-06,95.2621,3700.0,164.8447099869721,18663,0.0,926450.0,52.4307
2009-07-03,0.0,4147864,0,3.8702995640211645e-06,94.9856,4150.0,164.9877004609424,18747,0.0,930600.0,52.4164
2009-07-04,0.0,4165574,0,3.8134878273015878e-06,94.7177,4100.0,165.32833787549143,18829,0.0,934700.0,52.4052
2009-07-05,0.0,4184787,0,3.848995162751323e-06,94.3772,4450.0,164.88068192375147,18918,0.0,939150.0,52.3933
2009-07-06,0.0,4201850,0,4.083343576719577e-06,93.9732,3950.0,167.76432098498742,18997,0.0,943100.0,52.3828
2009-07-07,0.0,4219992,0,4.090445043809524e-06,93.55,4200.0,170.75227083540918,19081,0.0,947300.0,52.3717
2009-07-08,0.0,4234891,0,3.97682157037037e-06,93.1544,3450.0,170.44535309503232,19150,0.0,950750.0,52.3627
2009-07-09,0.0,4250875,0,3.97682157037037e-06,92.723,3700.0,170.42037258190857,19224,0.0,954450.0,52.3531
2009-07-10,0.0,4269426,0,3.998125971640211e-06,92.322,4300.0,165.44022388375868,19310,0.0,958750.0,52.3421
2009-07-11,0.0,4286912,0,3.991024504550265e-06,92.1258,4050.0,164.2211841991143,19391,0.0,962800.0,52.3318
2009-07-12,0.0,4304839,0,3.948415702010582e-06,91.8847,4150.0,164.83841188383317,19474,0.0,966950.0,52.3213
2009-07-13,0.0,4321455,0,3.934212767830688e-06,91.5348,3850.0,157.31949837981372,19551,0.0,970800.0,52.3117
2009-07-14,0.0,4338296,0,3.891603965291005e-06,91.2239,3900.0,151.6097061876354,19629,0.0,974700.0,52.302
2009-07-15,0.0,4353196,0,3.891603965291007e-06,90.9255,3450.0,162.94818022464418,19698,0.0,978150.0,52.2935
2009-07-16,0.0,4362916,0,3.68566141968254e-06,90.5283,2250.0,154.7555755255927,19743,0.0,980400.0,52.288000000000004
2009-07-17,0.0,4378242,0,3.5791394133333328e-06,90.1544,3550.0,158.03533761048098,19814,0.0,983950.0,52.2794
2009-07-18,0.0,4388380,0,3.3376895322751324e-06,89.7798,2350.0,157.61035786086768,19861,0.0,986300.0,52.2737
2009-07-19,0.0,4389243,0,2.776673632169312e-06,89.238,200.0,157.48158487322837,19865,0.0,986500.0,52.2732
2009-07-20,0.0,4404351,0,2.7269633625396826e-06,88.8901,3500.0,155.51709263628445,19935,0.0,990000.0,52.2648
2009-07-21,0.0,4433379,598,2.6701516258201062e-06,88.6913,3500.14,156.59914853000396,20006,0.14,993500.0,52.5856
2009-07-22,0.0,4451079,0,2.762470697989418e-06,88.5626,4100.0,158.2114211926491,20088,0.0,997600.0,52.5744
2009-07-23,0.0,4463999,0,2.8689927043386236e-06,88.4097,3000.0,158.3100937362738,20148,0.0,1000600.0,52.5663
2009-07-24,0.0,4480394,0,2.9045000397883595e-06,88.2629,3800.0,160.15373379925458,20224,0.0,1004400.0,52.5561
2009-07-25,0.0,4496157,0,3.0891381841269836e-06,87.9547,3650.0,161.76880277216517,20297,0.0,1008050.0,52.5464
2009-07-26,0.0,4503064,0,3.2879792626455023e-06,87.7255,1600.0,162.20177580701602,20329,0.0,1009650.0,52.5422
2009-07-27,0.0,4507591,0,2.9400073752380954e-06,87.4114,1050.0,160.1099748665739,20350,0.0,1010700.0,52.5394
2009-07-28,0.0,4523568,0,2.9684132435978834e-06,87.1085,3700.0,115.97230788063005,20424,0.0,1014400.0,52.5296
2009-07-29,0.0,4532410,0,2.6772530929100533e-06,86.7839,2050.0,116.4206402934832,20465,0.0,1016450.0,52.5243
2009-07-30,0.0,4536782,0,2.3860929422222216e-06,86.4313,950.0,115.90675269591938,20485,0.0,1017400.0,52.5245
2009-07-31,0.0,4540249,0,1.95290344973545e-06,86.0965,750.0,105.5528398862849,20501,0.0,1018150.0,52.5199
2009-08-01,0.0,4543916,0,1.5552212926984129e-06,85.8735,850.0,100.55491429744178,20518,0.0,1019000.0,52.5177
2009-08-02,0.0,4549959,0,1.5268154243386245e-06,85.6215,1400.0,100.8669447969598,20546,0.0,1020400.0,52.513999999999996
2009-08-03,0.0,4554918,0,1.5410183585185189e-06,85.382,1150.0,100.87042268441137,20569,0.0,1021550.0,52.5111
2009-08-04,0.0,4557506,0,1.1007273989417988e-06,85.2031,600.0,102.16445691919209,20581,0.0,1022150.0,52.5095
2009-08-05,0.0,4574973,0,1.3847860825396826e-06,84.9517,4050.0,92.08153692101341,20662,0.0,1026200.0,52.4991
2009-08-06,0.0,4593741,0,1.8676858446560849e-06,84.7772,4350.0,90.33399782530691,20749,0.0,1030550.0,52.488
2009-08-07,0.0,4613176,0,2.400295876402116e-06,84.5725,4500.0,87.53832384113147,20839,0.0,1035050.0,52.4767
2009-08-08,0.0,4643218,550,2.847688303068783e-06,84.3842,4000.13,86.19746474723352,20920,0.13,1039050.0,52.757
2009-08-09,0.0,4660488,0,3.216964591746032e-06,84.1426,4000.0,86.27967714844607,21000,0.0,1043050.0,52.7459
2009-08-10,0.0,4682304,0,3.7708790247619048e-06,83.9257,5050.0,85.81547478307907,21101,0.0,1048100.0,52.7319
2009-08-11,0.0,4698503,0,4.218271451428571e-06,83.7541,3750.0,85.9100485079783,21176,0.0,1051850.0,52.7217
2009-08-12,0.0,4713617,0,4.140155313439153e-06,83.5721,3500.0,87.05635565502877,21246,0.0,1055350.0,52.7122
